Care Setting,Care Activities,Care Activity Bundle,Aspect of Practice,Environmental Services Worker (Housekeeper),Health Care Assistant,Unit Clerk,Indigenous Liaison,Physiotherapist,Occupational Therapist,Respiratory Therapist,Social Worker,Combined Laboratory/X-Ray Technologist,Diagnostic Medical Sonographer,Computed Tomography Technologist,Mammography Technologist,Nuclear Medicine Technologist,Radiological Technologist,Medical Laboratory Assistant,Medical Laboratory Technologist,Advanced Care Paramedic,Community Care Paramedic,Critical Care Paramedic,Primary Care Paramedic,Clinical Pharmacist,Pharmacy Assistant,Pharmacy Technician,Rehabilitation Assistant,Licensed Practical Nurse,Registered Nurse,Registered Psychiatric Nurse
Emergency Department,Administer otic drops,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y
Emergency Department,Prescribe otic drops,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,N,N,N,N,N,N
Emergency Department,Consult otolaryngolositst for appropriate emergent referral,"Ears, Eyes, Nose, and Throat",Aspect of Practice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Develop treatment plan for otic condition,"Ears, Eyes, Nose, and Throat",Aspect of Practice,N,N,N,N,LC,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
Emergency Department,Perform cannulith repositioning manouvers for vertigo,"Ears, Eyes, Nose, and Throat",Aspect of Practice,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Diagnose emergent nasal conditions,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Perform a basic nasal exam,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y
Emergency Department,Prescribe nasal medications,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,N,N,N,N,N,N
Emergency Department,Administer nasal medications,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,LC,Y,LC,Y,N,N,N,LC,Y,Y
Emergency Department,Perform exam of internal nares using rhinoscope,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Perform cautery for epistaxis,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Apply pressure to epistaxis,"Ears, Eyes, Nose, and Throat",Task,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,LC,Y,Y,Y
Emergency Department,Educate patient to apply pressure for epistaxis,"Ears, Eyes, Nose, and Throat",Task,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y
Emergency Department,Insert tamponading device for epistaxis,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N
Emergency Department,Remove nasal packing,"Ears, Eyes, Nose, and Throat",Aspect of Practice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,LC,Y,Y
Emergency Department,Place posterior packing or posterior epistaxis device,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Consult otoloryngologist for appropriate emergent treatment or arrange follow up plan,"Ears, Eyes, Nose, and Throat",Aspect of Practice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,"Remove foreign body without deep instrumentation or sedation (e.g., blow technique with occluded nostril)","Ears, Eyes, Nose, and Throat",Aspect of Practice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,LC,LC
Emergency Department,Remove foreign body from nose with deep instrumentation,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,"Diagnose emergent conditions in the mouth or throat (epiglottitis, stridor threatening airway, expanding hematoma)","Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Perform a basic exam of the mouth and throat,"Ears, Eyes, Nose, and Throat",Aspect of Practice,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y
Emergency Department,Perform a complete oropharyngeal exam including flexible endoscope,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Diagnose oropharyngeal problem,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Prescribe medications specific to oropharyngeal conditions,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Consult otolaryngolostist for appropriate emergent management,"Ears, Eyes, Nose, and Throat",Aspect of Practice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N
Emergency Department,Perform suction of oral secretions and teach patient/family to do same,"Ears, Eyes, Nose, and Throat",Task,N,N,N,N,Y,LC,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y
Emergency Department,Diagnose dental injury,"Ears, Eyes, Nose, and Throat",Restricted Activity,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Emergency Department,Consult dentist,"Ears, Eyes, Nose, and Throat",Aspect of Practice,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N
